,precision,recall,f1-score,support
no,0.9703041660660228,0.8429555416405761,0.9021578876826163,7985.0
yes,0.4045584045584046,0.8052930056710775,0.538558786346397,1058.0
accuracy,0.8385491540418003,0.8385491540418003,0.8385491540418003,0.8385491540418003
macro avg,0.6874312853122136,0.8241242736558267,0.7203583370145066,9043.0
weighted avg,0.9041138513833886,0.8385491540418003,0.8596180392679619,9043.0
